Comment,Designator,Footprint,JLCPCB Part #
100nF,"C3, C4, C5, C6, C7, C10, C11",C_0402_1005Metric,C1525
1uF,"C8, C9",C_0603_1608Metric,C1592
DNP,C12,C_0402_1005Metric,
5Ω Shunt,R1,R_2512_6332Metric,C5123609
DNP,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0Ω,R4,R_0402_1005Metric,C17168
DNP,R5,R_0402_1005Metric,
W25Q128JVS,U2,SOIC-8_5.3x5.3mm_P1.27mm,C97521
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
